Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%),TimeOut,Gap_numeric,ratio_n_capacity,ratio_capacity_n,Optimal_numeric
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Complete_MIP_ORTools,20995,52.21629142761231,2,True,-1,0.0,False,0.0,0.003383407768304236,295.56,1
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Complete_MIP_PuLP,20995,116.59479141235352,-1,True,-1,0.0,False,0.0,0.003383407768304236,295.56,1
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_Greedy_Simple,20995,0.0,0,True,-1,0.0,False,0.0,0.003383407768304236,295.56,1
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_Greedy_Random_k3,20760,6.037712097167969,0,False,-1,1.1193141224100975,False,1.1193141224100975,0.003383407768304236,295.56,0
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_Greedy_Probabilistic_alpha0.9,18220,4.71806526184082,0,False,-1,13.217432722076685,False,13.217432722076685,0.003383407768304236,295.56,0
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_SimulatedAnnealing,20995,644.3169116973877,11212,True,-1,0.0,False,0.0,0.003383407768304236,295.56,1
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_TabuSearch,20995,2777.3590087890625,1000,True,-1,0.0,False,0.0,0.003383407768304236,295.56,1
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Complete_MIP_ORTools,19836,13.662099838256836,0,True,-1,0.0,False,0.0,0.0036770113251948814,271.96,1
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Complete_MIP_PuLP,19836,64.81170654296875,-1,True,-1,0.0,False,0.0,0.0036770113251948814,271.96,1
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_Greedy_Simple,19836,0.0,0,True,-1,0.0,False,0.0,0.0036770113251948814,271.96,1
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_Greedy_Random_k3,19433,3.831386566162109,0,False,-1,2.0316596087920953,False,2.0316596087920953,0.0036770113251948814,271.96,0
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_Greedy_Probabilistic_alpha0.9,17528,3.5343170166015625,0,False,-1,11.635410364992941,False,11.635410364992941,0.0036770113251948814,271.96,0
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_SimulatedAnnealing,19836,642.5843238830566,10592,True,-1,0.0,False,0.0,0.0036770113251948814,271.96,1
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_TabuSearch,19836,2148.134708404541,1000,True,-1,0.0,False,0.0,0.0036770113251948814,271.96,1
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Complete_MIP_ORTools,15768,569.0760612487793,78,True,-1,0.0,False,0.0,0.0035114825479317367,284.78,1
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Complete_MIP_PuLP,15768,300.20833015441895,-1,True,-1,0.0,False,0.0,0.0035114825479317367,284.78,1
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_Greedy_Simple,15712,0.0,0,True,-1,0.35514967021816335,False,0.35514967021816335,0.0035114825479317367,284.78,1
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_Greedy_Random_k3,15717,4.065275192260742,0,True,-1,0.3234398782343988,False,0.3234398782343988,0.0035114825479317367,284.78,1
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_Greedy_Probabilistic_alpha0.9,14727,3.992795944213867,0,False,-1,6.601978691019787,False,6.601978691019787,0.0035114825479317367,284.78,0
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_SimulatedAnnealing,15712,705.8987617492676,11481,True,-1,0.35514967021816335,False,0.35514967021816335,0.0035114825479317367,284.78,1
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_TabuSearch,15723,1921.7517375946045,1000,True,-1,0.28538812785388123,False,0.28538812785388123,0.0035114825479317367,284.78,1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Complete_MIP_ORTools,17539,108.62469673156738,0,True,-1,0.0,False,0.0,0.0035114825479317367,284.78,1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Complete_MIP_PuLP,17539,111.52005195617676,-1,True,-1,0.0,False,0.0,0.0035114825479317367,284.78,1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_Greedy_Simple,17176,1.0161399841308594,0,False,-1,2.0696732995039624,False,2.0696732995039624,0.0035114825479317367,284.78,0
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_Greedy_Random_k3,17178,1.501321792602539,0,False,-1,2.0582701408290096,False,2.0582701408290096,0.0035114825479317367,284.78,0
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_Greedy_Probabilistic_alpha0.9,16794,2.995729446411133,0,False,-1,4.2476766064199785,False,4.2476766064199785,0.0035114825479317367,284.78,0
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_SimulatedAnnealing,17527,486.9663715362549,9748,True,-1,0.06841895204971776,False,0.06841895204971776,0.0035114825479317367,284.78,1
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_TabuSearch,17235,1597.0628261566162,1000,False,-1,1.7332801185928504,False,1.7332801185928504,0.0035114825479317367,284.78,0
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Complete_MIP_ORTools,14914,48.14791679382324,0,True,-1,0.0,False,0.0,0.0029915041282756972,334.28,1
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Complete_MIP_PuLP,14914,114.01033401489258,-1,True,-1,0.0,False,0.0,0.0029915041282756972,334.28,1
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_Greedy_Simple,14902,0.0,0,True,-1,0.08046131151937776,False,0.08046131151937776,0.0029915041282756972,334.28,1
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_Greedy_Random_k3,14902,1.9927024841308596,0,True,-1,0.08046131151937776,False,0.08046131151937776,0.0029915041282756972,334.28,1
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_Greedy_Probabilistic_alpha0.9,14000,1.994609832763672,0,False,-1,6.128469894059274,False,6.128469894059274,0.0029915041282756972,334.28,0
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_SimulatedAnnealing,14902,489.1514778137207,12322,True,-1,0.08046131151937776,False,0.08046131151937776,0.0029915041282756972,334.28,1
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_TabuSearch,14914,1264.3725872039795,1000,True,-1,0.0,False,0.0,0.0029915041282756972,334.28,1
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Complete_MIP_ORTools,17556,117.63381958007812,17,True,-1,0.0,False,0.0,0.0035114825479317367,284.78,1
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Complete_MIP_PuLP,17556,178.9703369140625,-1,True,-1,0.0,False,0.0,0.0035114825479317367,284.78,1
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_Greedy_Simple,17188,0.0,0,False,-1,2.096149464570517,False,2.096149464570517,0.0035114825479317367,284.78,0
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_Greedy_Random_k3,17189,2.0782947540283203,0,False,-1,2.09045340624288,False,2.09045340624288,0.0035114825479317367,284.78,0
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_Greedy_Probabilistic_alpha0.9,16803,1.0051727294921875,0,False,-1,4.289131920710868,False,4.289131920710868,0.0035114825479317367,284.78,0
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_SimulatedAnnealing,17541,500.4253387451172,10157,True,-1,0.08544087491455912,False,0.08544087491455912,0.0035114825479317367,284.78,1
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_TabuSearch,17246,1569.3631172180176,1000,False,-1,1.7657780815675552,False,1.7657780815675552,0.0035114825479317367,284.78,0
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Complete_MIP_ORTools,14239,7.207393646240234,0,True,-1,0.0,False,0.0,0.0035114825479317367,284.78,1
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Complete_MIP_PuLP,14239,59.36670303344727,-1,True,-1,0.0,False,0.0,0.0035114825479317367,284.78,1
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_Greedy_Simple,14235,0.0,0,True,-1,0.028091860383453897,False,0.028091860383453897,0.0035114825479317367,284.78,1
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_Greedy_Random_k3,14125,1.1150836944580078,0,True,-1,0.800618020928436,False,0.800618020928436,0.0035114825479317367,284.78,1
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_Greedy_Probabilistic_alpha0.9,14067,1.0285377502441406,0,False,-1,1.2079499964885174,False,1.2079499964885174,0.0035114825479317367,284.78,0
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_SimulatedAnnealing,14239,720.0767993927002,11701,True,-1,0.0,False,0.0,0.0035114825479317367,284.78,1
05SubsetSum_n00050_R01000_s000,facile,Unknown,50,14239,28763,28763,Incomplete_TabuSearch,14239,1399.8363018035889,1000,True,-1,0.0,False,0.0,0.0035114825479317367,284.78,1
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Complete_MIP_ORTools,19676,25.1765251159668,0,True,-1,0.0,False,0.0,2.0187933510637225e-05,49534.54,1
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Complete_MIP_PuLP,19676,78.5219669342041,-1,True,-1,0.0,False,0.0,2.0187933510637225e-05,49534.54,1
06UncorrelatedWithSimilarWeights_n00050_R01000_s000,facile,Unknown,50,2476727,5002990,28763,Incomplete_Greedy_Simple,19676,0.0,0,True,-1,0.0,False,0.0,2.0187933510637225e-05,49534.54,1
