Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Complete_MIP_ORTools,20995,52.216291427612305,2,true,-1,-1.0
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Complete_MIP_PuLP,20995,116.59479141235352,-1,true,-1,-1.0
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_Greedy_Simple,20995,0.0,0,false,-1,-1.0
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_Greedy_Random_k3,20760,6.037712097167969,0,false,-1,-1.0
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_Greedy_Probabilistic_alpha0.9,18220,4.71806526184082,0,false,-1,-1.0
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_SimulatedAnnealing,20995,644.3169116973877,11212,false,-1,-1.0
00Uncorrelated_n00050_R01000_s000,facile,Unknown,50,14778,29853,28763,Incomplete_TabuSearch,20995,2777.3590087890625,1000,false,-1,-1.0
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Complete_MIP_ORTools,19836,13.662099838256836,0,true,-1,-1.0
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Complete_MIP_PuLP,19836,64.81170654296875,-1,true,-1,-1.0
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_Greedy_Simple,19836,0.0,0,false,-1,-1.0
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_Greedy_Random_k3,19433,3.8313865661621094,0,false,-1,-1.0
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_Greedy_Probabilistic_alpha0.9,17528,3.5343170166015625,0,false,-1,-1.0
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_SimulatedAnnealing,19836,642.5843238830566,10592,false,-1,-1.0
00Uncorrelated_n00050_R01000_s001,facile,Unknown,50,13598,27468,23823,Incomplete_TabuSearch,19836,2148.134708404541,1000,false,-1,-1.0
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Complete_MIP_ORTools,15768,569.0760612487793,78,true,-1,-1.0
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Complete_MIP_PuLP,15768,300.20833015441895,-1,true,-1,-1.0
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_Greedy_Simple,15712,0.0,0,false,-1,-1.0
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_Greedy_Random_k3,15717,4.065275192260742,0,false,-1,-1.0
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_Greedy_Probabilistic_alpha0.9,14727,3.992795944213867,0,false,-1,-1.0
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_SimulatedAnnealing,15712,705.8987617492676,11481,false,-1,-1.0
01WeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,29802,Incomplete_TabuSearch,15723,1921.7517375946045,1000,false,-1,-1.0
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Complete_MIP_ORTools,17539,108.62469673156738,0,true,-1,-1.0
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Complete_MIP_PuLP,17539,111.52005195617676,-1,true,-1,-1.0
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_Greedy_Simple,17176,1.0161399841308594,0,false,-1,-1.0
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_Greedy_Random_k3,17178,1.501321792602539,0,false,-1,-1.0
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_Greedy_Probabilistic_alpha0.9,16794,2.995729446411133,0,false,-1,-1.0
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_SimulatedAnnealing,17527,486.9663715362549,9748,false,-1,-1.0
02StronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33763,Incomplete_TabuSearch,17235,1597.0628261566162,1000,false,-1,-1.0
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Complete_MIP_ORTools,14914,48.14791679382324,0,true,-1,-1.0
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Complete_MIP_PuLP,14914,114.01033401489258,-1,true,-1,-1.0
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_Greedy_Simple,14902,0.0,0,false,-1,-1.0
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_Greedy_Random_k3,14902,1.9927024841308594,0,false,-1,-1.0
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_Greedy_Probabilistic_alpha0.9,14000,1.9946098327636719,0,false,-1,-1.0
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_SimulatedAnnealing,14902,489.1514778137207,12322,false,-1,-1.0
03InverseStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,16714,33763,28763,Incomplete_TabuSearch,14914,1264.3725872039795,1000,false,-1,-1.0
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Complete_MIP_ORTools,17556,117.63381958007812,17,true,-1,-1.0
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Complete_MIP_PuLP,17556,178.9703369140625,-1,true,-1,-1.0
04AlmostStronglyCorrelated_n00050_R01000_s000,facile,Unknown,50,14239,28763,33785,Incomplete_Greedy_Simple,17188,0.0,0,false,-1,-1.0
